settled_at,adapter,ticker,metal,side,count,fill_price,fee,fair_at_entry,result,pnl,tag,cash_after
2026-09-14T08:31:01Z,shadow,KXDOGE15M-26SEP140430-30,doge,yes,13,0.75,0.18,0.75,no,-9.93,crypto_fav,243.16
2026-09-14T08:31:01Z,shadow,KXNEAR15M-26SEP140430-30,near,yes,10,0.87,0.08,0.87,yes,1.22,crypto_fav,253.16
2026-09-14T08:46:01Z,shadow,KXDOGE15M-26SEP140445-45,doge,no,13,0.75,0.18,0.25,no,3.07,crypto_fav,238.06
2026-09-14T08:46:01Z,shadow,KXNEAR15M-26SEP140445-45,near,no,11,0.84,0.11,0.16,yes,-9.35,crypto_fav,238.06
2026-09-14T08:46:01Z,shadow,KXXRP15M-26SEP140445-45,xrp,no,11,0.79,0.13,0.21,no,2.18,crypto_fav,249.06
2026-09-14T09:01:01Z,shadow,KXDOGE15M-26SEP140500-00,doge,no,12,0.76,0.16,0.24,no,2.72,crypto_fav,233.69
2026-09-14T09:01:01Z,shadow,KXNEAR15M-26SEP140500-00,near,yes,11,0.8,0.13,0.8,yes,2.07,crypto_fav,244.69
2026-09-14T09:01:01Z,shadow,KXXRP15M-26SEP140500-00,xrp,no,12,0.75,0.16,0.25,no,2.84,crypto_fav,256.69
2026-09-14T09:16:01Z,shadow,KXXRP15M-26SEP140515-15,xrp,yes,12,0.81,0.13,0.81,no,-9.85,crypto_fav,228.52
2026-09-14T09:16:01Z,shadow,KXDOGE15M-26SEP140515-15,doge,yes,12,0.75,0.16,0.75,no,-9.16,crypto_fav,228.52
2026-09-14T09:16:01Z,shadow,KXNEAR15M-26SEP140515-15,near,no,12,0.75,0.16,0.25,no,2.84,crypto_fav,240.52
2026-09-14T09:31:01Z,shadow,KXNEAR15M-26SEP140530-30,near,no,10,0.89,0.07,0.11,no,1.03,crypto_fav,223.88
2026-09-14T09:31:02Z,shadow,KXXRP15M-26SEP140530-30,xrp,yes,12,0.75,0.16,0.75,yes,2.84,crypto_fav,235.88
2026-09-14T09:31:02Z,shadow,KXDOGE15M-26SEP140530-30,doge,no,11,0.76,0.15,0.24,no,2.49,crypto_fav,246.88
2026-09-14T09:46:01Z,shadow,KXXRP15M-26SEP140545-45,xrp,yes,12,0.76,0.16,0.76,yes,2.72,crypto_fav,232.01
2026-09-14T09:46:01Z,shadow,KXNEAR15M-26SEP140545-45,near,yes,12,0.76,0.16,0.76,yes,2.72,crypto_fav,244.01
